Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
82	1250	393,9	242,83	825,32	21,101	68,945	0,86689	2,5029	1,7233	12,559	0,7285
54	150	-0,53645	-1,6705	-2,8347	20,508	99,073	0,22482	2,4117	2,3893	12,646	0,0645
83	1850	107,78	54,519	238,75	19,774	76,352	0,27115	2,3051	1,7596	12,552	0,189
35	1550	915,11	595,57	1930,3	28,541	43,437	1,0883	3,9005	1,6941	12,713	1,296
104	2100	-0,22547	-51,044	-0,68181	12,179	87,372	0,1294	1,4186	1,2388	12,498	0,0705
61	2150	-0,43982	-30,904	-2,2686	18,562	92,032	0,12662	2,1371	1,9667	12,619	0,132
68	300	-0,03219	-3,7633	-0,03042	19,437	101,5	0,12198	2,2568	2,2908	12,6	0,0645
106	2200	-0,25768	-37,075	-1,7289	11,776	92,737	0,084	1,3812	1,2806	12,492	0,085
78	1050	537,16	326,58	1167,9	22,14	67,854	1,508	2,6661	1,8086	12,565	0,6525
61	1000	444,6	264,71	995,35	22,939	76,332	0,45275	2,7991	2,1352	12,617	0,803
38	1000	540,85	313,56	1178,8	20,326	55,339	0,68067	2,3861	1,319	12,671	1,132
99	2300	-0,02147	-16,101	-0,03044	14,631	96,176	0,05064	1,6642	1,6005	12,51	0,0995
111	600	-0,40005	-8,3838	0,40798	12,521	100,98	0,01544	1,4505	1,4647	12,479	0,0775
63	1300	428,43	276,29	915,82	23,052	75,692	1,2662	2,8223	2,1353	12,61	0,8135
35	350	-0,24161	-21,977	-0,01826	11,552	94,322	0,14607	1,3608	1,2835	12,683	0,098
34	1100	612,77	373,57	1323,7	23,248	56,579	0,42217	2,8513	1,6129	12,695	1,329
73	950	166,43	94,912	361,42	19,311	101,2	0,41939	2,2395	2,2663	12,581	0,2165
66	600	-0,04293	-20,663	-1,6795	17,735	78,861	0,69734	2,0287	1,5997	12,594	0,1475
53	2350	-0,92258	-5,5191	-0,13989	20,694	96,457	0,11457	2,4395	2,353	12,645	0,069
80	1250	747,06	490,49	1581,4	22,895	66,725	1,0994	2,7914	1,8617	12,565	0,5705
105	1100	461,51	267,95	1022,1	19,319	72,886	0,40271	2,2413	1,6323	12,489	0,6845
69	400	-0,04561	-1,7994	1,1683	18,189	101,27	0,8956	2,0875	2,1139	12,601	0,0615
91	100	-0,06708	-15,059	-0,63287	18,191	64,117	1,2514	2,0877	1,3385	12,535	0,113
44	950	80,621	54,086	161,11	21,552	97,538	0,47035	2,5715	2,5082	12,665	0,172
101	2350	-0,2712	-2,5134	0	10,512	99,263	0,0386	1,2704	1,2614	12,499	0,0745
102	1900	3,5953	2,2195	10,363	19,91	102,61	1,5405	2,3242	2,3849	12,508	0,058
105	1250	627,58	399,17	1343,1	20,411	64,689	0,99289	2,3976	1,5508	12,488	0,555
113	850	13,596	-7,9586	42,97	8,8681	100,76	0,15441	1,1371	1,1458	12,468	0,096
67	950	111,82	71,123	240,62	20,721	85,012	0,57134	2,4435	2,0773	12,6	0,2755
63	800	25,788	-2,1014	71,052	12,418	102,46	0,06176	1,4406	1,4761	12,604	0,1015
